ID Interactor A	ID Interactor B	Alt IDs Interactor A	Alt IDs Interactor B	Aliases Interactor A	Aliases Interactor B	Interaction Detection Methods	Publication 1st Author	Publication Identifiers	Taxid Interactor A	Taxid Interactor B	Interaction Types	Source Databases	Interaction Identifiers	Confidence Value	Presence In Other Species	Gene Name Interactor A	Gene Name Interactor B
entrez gene:7410	entrez gene:960	uniprotkb:VAV2_HUMAN	uniprotkb:CD44_HUMAN	-	-	MI:0492(in vitro)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	Bourguignon LY (2001)	pubmed:11606575	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|MI:1014(string)	-	0.73		VAV2	CD44
entrez gene:29127	entrez gene:7409	uniprotkb:RGAP1_HUMAN	uniprotkb:VAV_HUMAN	-	-	MI:0493(in vivo)|Reconstituted Complex|MI:0096(pull down)	Das B (2000)|Rual JF (2005)	pubmed:10748082|pubmed:16189514	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|rual05	-	0.85		RACGAP1	VAV1
entrez gene:1794	entrez gene:7409	uniprotkb:DOCK2_HUMAN	uniprotkb:VAV_HUMAN	-	-	MI:0492(in vitro)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	Nishihara H (2002)	pubmed:12393632	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.73		DOCK2	VAV1
entrez gene:64750	entrez gene:23172	uniprotkb:SMUF2_HUMAN	uniprotkb:F175B_HUMAN	-	-	MI:0018(two hybrid)	Colland F (2004)	pubmed:15231748	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|MI:0471(mint)|i2d|colland04|MI:0469(intact)|biogrid	-	0.63		SMURF2	ABRAXAS2
entrez gene:64750	entrez gene:64746	uniprotkb:SMUF2_HUMAN	uniprotkb:GCP60_HUMAN	-	-	MI:0018(two hybrid)	Colland F (2004)	pubmed:15231748	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|MI:0471(mint)|i2d|colland04|MI:0469(intact)|biogrid	-	0.63		SMURF2	ACBD3
entrez gene:7525	entrez gene:7525	uniprotkb:YES_HUMAN	uniprotkb:YES_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)	Sun G (1998)	pubmed:9794236	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d	-	0.62	taxid:10090(Mus musculus (Mouse))	YES1	YES1
entrez gene:5175	entrez gene:7525	uniprotkb:PECA1_HUMAN	uniprotkb:YES_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	Cicmil M (2000)	pubmed:10858437	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.74		PECAM1	YES1
entrez gene:948	entrez gene:7525	uniprotkb:CD36_HUMAN	uniprotkb:YES_HUMAN	-	-	MI:0493(in vivo)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	Bull HA (1994)|Huang MM (1991)	pubmed:7521304|pubmed:1715582	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.83		CD36	YES1
entrez gene:6134	entrez gene:7525	uniprotkb:RL10_HUMAN	uniprotkb:YES_HUMAN	-	-	MI:0493(in vivo)|MI:0018(two hybrid)|Affinity Capture-Western|MI:0096(pull down)|MI:0004(affinity chromatography technology)	Oh HS (2002)|Park S (2006)	pubmed:12138090|pubmed:16741966	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|MI:0471(mint)|i2d|MI:0469(intact)	-	0.87		RPL10	YES1
entrez gene:4486	entrez gene:7525	uniprotkb:RON_HUMAN	uniprotkb:YES_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)	Iwama A (1996)	pubmed:8918464	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d	-	0.55		MST1R	YES1
entrez gene:2066	entrez gene:960	uniprotkb:ERBB4_HUMAN	uniprotkb:CD44_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	Yu WH (2002)	pubmed:11825873	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|MI:1014(string)	-	0.74		ERBB4	CD44
entrez gene:7301	entrez gene:7525	uniprotkb:TYRO3_HUMAN	uniprotkb:YES_HUMAN	-	-	MI:0493(in vivo)	Toshima J (1995)	pubmed:7537495	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d	-	0.52		TYRO3	YES1
entrez gene:8038	entrez gene:7525	uniprotkb:ADA12_HUMAN	uniprotkb:YES_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)	Suzuki A (2000)	pubmed:11127814	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d	-	0.62	taxid:10090(Mus musculus (Mouse))	ADAM12	YES1
entrez gene:4868	entrez gene:7525	uniprotkb:NPHN_HUMAN	uniprotkb:YES_HUMAN	-	-	MI:0493(in vivo)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	Lahdenper?? J (2003)|Verma R (2003)	pubmed:12846735|pubmed:12668668	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.83		NPHS1	YES1
entrez gene:4950	entrez gene:7525	uniprotkb:OCLN_HUMAN	uniprotkb:YES_HUMAN	-	-	MI:0493(in vivo)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	Chen YH (2002)	pubmed:11950934	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.73		OCLN	YES1
entrez gene:1742	entrez gene:7525	uniprotkb:DLG4_HUMAN	uniprotkb:YES_HUMAN	-	-	MI:0493(in vivo)	Tezuka T (1999)	pubmed:9892651	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d	-	0.52		DLG4	YES1
entrez gene:23607	entrez gene:7525	uniprotkb:CD2AP_HUMAN	uniprotkb:YES_HUMAN	-	-	MI:0492(in vitro)	Kirsch KH (1999)	pubmed:10339567	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d	-	0.52		CD2AP	YES1
entrez gene:59341	entrez gene:7525	uniprotkb:TRPV4_HUMAN	uniprotkb:YES_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	Xu H (2003)	pubmed:12538589	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.74		TRPV4	YES1
entrez gene:64750	entrez gene:8175	uniprotkb:SMUF2_HUMAN	uniprotkb:SF3A2_HUMAN	-	-	MI:0018(two hybrid)	Colland F (2004)	pubmed:15231748	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|MI:0471(mint)|i2d|colland04|MI:0469(intact)|biogrid	-	0.63		SMURF2	SF3A2
entrez gene:51206	entrez gene:7525	uniprotkb:GPVI_HUMAN	uniprotkb:YES_HUMAN	-	-	MI:0493(in vivo)|MI:0006(anti bait coimmunoprecipitation)|MI:0084(phage display)	Huang MM (1991)|Schmaier AA (2009)	pubmed:1715582|pubmed:19940238	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|MI:0469(intact)|i2d	-	0.84		GP6	YES1
entrez gene:7159	entrez gene:7525	uniprotkb:ASPP2_HUMAN	uniprotkb:YES_HUMAN	-	-	MI:0493(in vivo)	Espanel X (2001)	pubmed:11278422	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d	-	0.52		TP53BP2	YES1
entrez gene:7074	entrez gene:960	uniprotkb:TIAM1_HUMAN	uniprotkb:CD44_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|Reconstituted Complex|MI:0096(pull down)	Bourguignon LY (2000)	pubmed:10636882	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.76		TIAM1	CD44
entrez gene:6667	entrez gene:5966	uniprotkb:SP1_HUMAN	uniprotkb:REL_HUMAN	-	-	MI:0492(in vitro)|Reconstituted Complex|MI:0096(pull down)	Sif S (1994)	pubmed:7933095	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.75		SP1	REL
entrez gene:1997	entrez gene:5966	uniprotkb:ELF1_HUMAN	uniprotkb:REL_HUMAN	-	-	MI:0492(in vitro)|Reconstituted Complex|MI:0096(pull down)	John S (1995)	pubmed:7862168	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.75		ELF1	REL
entrez gene:64750	entrez gene:8310	uniprotkb:SMUF2_HUMAN	uniprotkb:ACOX3_HUMAN	-	-	MI:0018(two hybrid)	Colland F (2004)	pubmed:15231748	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|MI:0471(mint)|i2d|colland04|MI:0469(intact)|biogrid|MI:1014(string)	-	0.63		SMURF2	ACOX3
entrez gene:64750	entrez gene:54778	uniprotkb:SMUF2_HUMAN	uniprotkb:RN111_HUMAN	-	-	MI:0018(two hybrid)	Colland F (2004)	pubmed:15231748	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|MI:0471(mint)|i2d|colland04|MI:0469(intact)|biogrid	-	0.63		SMURF2	RNF111
entrez gene:55922	entrez gene:5966	uniprotkb:NKRF_HUMAN	uniprotkb:REL_HUMAN	-	-	MI:0492(in vitro)|Reconstituted Complex|MI:0096(pull down)	Nourbakhsh M (1999)	pubmed:10562553	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.75		NKRF	REL
entrez gene:6908	entrez gene:5966	uniprotkb:TBP_HUMAN	uniprotkb:REL_HUMAN	-	-	MI:0492(in vitro)|Reconstituted Complex|MI:0096(pull down)	Xu X (1993)|Lim J (2006)	pubmed:8413269|pubmed:16713569	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|lim06	-	0.85		TBP	REL
entrez gene:64750	entrez gene:135932	uniprotkb:SMUF2_HUMAN	uniprotkb:TM139_HUMAN	-	-	MI:0018(two hybrid)	Colland F (2004)	pubmed:15231748	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|MI:0471(mint)|i2d|colland04|MI:0469(intact)|biogrid	-	0.63		SMURF2	TMEM139
entrez gene:64750	entrez gene:7805	uniprotkb:SMUF2_HUMAN	uniprotkb:LAPM5_HUMAN	-	-	MI:0018(two hybrid)	Colland F (2004)	pubmed:15231748	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|MI:0471(mint)|i2d|colland04|MI:0469(intact)|biogrid	-	0.63		SMURF2	LAPTM5
entrez gene:5599	entrez gene:5966	uniprotkb:MK08_HUMAN	uniprotkb:REL_HUMAN	-	-	MI:0493(in vivo)|MI:0018(two hybrid)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	Meyer CF (1996)	pubmed:8621542	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|mips	-	0.77		MAPK8	REL
entrez gene:64750	entrez gene:6625	uniprotkb:SMUF2_HUMAN	uniprotkb:RU17_HUMAN	-	-	MI:0018(two hybrid)	Colland F (2004)	pubmed:15231748	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|MI:0471(mint)|i2d|colland04|MI:0469(intact)|biogrid	-	0.63		SMURF2	SNRNP70
entrez gene:1758	entrez gene:960	uniprotkb:DMP1_HUMAN	uniprotkb:CD44_HUMAN	-	-	MI:0492(in vitro)	Jain A (2002)	pubmed:11825898	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d	-	0.52		DMP1	CD44
entrez gene:5531	entrez gene:5966	uniprotkb:PP4C_HUMAN	uniprotkb:REL_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|MI:0018(two hybrid)|Reconstituted Complex|Affinity Capture-Western|MI:0004(affinity chromatography technology)|MI:0096(pull down)	Hu MC (1998)	pubmed:9837938	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.79		PPP4C	REL
entrez gene:9631	entrez gene:9372	uniprotkb:NU155_HUMAN	uniprotkb:ZFYV9_HUMAN	-	-	MI:0018(two hybrid)	Rual JF (2005)|Colland F (2004)	pubmed:16189514|pubmed:15231748	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|MI:0471(mint)|i2d|rual05|colland04|MI:0469(intact)|biogrid	-	0.73		NUP155	ZFYVE9
entrez gene:25870	entrez gene:9372	uniprotkb:SUMF2_HUMAN	uniprotkb:ZFYV9_HUMAN	-	-	MI:0018(two hybrid)	Rual JF (2005)|Colland F (2004)	pubmed:16189514|pubmed:15231748	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|MI:0471(mint)|i2d|rual05|colland04|MI:0469(intact)|biogrid	-	0.73		SUMF2	ZFYVE9
entrez gene:2114	entrez gene:9372	uniprotkb:ETS2_HUMAN	uniprotkb:ZFYV9_HUMAN	-	-	MI:0018(two hybrid)	Rual JF (2005)|Colland F (2004)	pubmed:16189514|pubmed:15231748	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|MI:0471(mint)|i2d|rual05|colland04|MI:0469(intact)|biogrid|MI:1014(string)	-	0.73		ETS2	ZFYVE9
entrez gene:4092	entrez gene:51427	uniprotkb:SMAD7_HUMAN	uniprotkb:ZN107_HUMAN	-	-	MI:0018(two hybrid)	Colland F (2004)	pubmed:15231748	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|MI:0471(mint)|i2d|colland04|MI:0469(intact)|biogrid	-	0.63		SMAD7	ZNF107
entrez gene:4092	entrez gene:29068	uniprotkb:SMAD7_HUMAN	uniprotkb:ZBT44_HUMAN	-	-	MI:0018(two hybrid)	Colland F (2004)	pubmed:15231748	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|colland04	-	0.63		SMAD7	ZBTB44
entrez gene:4092	entrez gene:8458	uniprotkb:SMAD7_HUMAN	uniprotkb:TTF2_HUMAN	-	-	MI:0018(two hybrid)	Colland F (2004)	pubmed:15231748	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|MI:0471(mint)|i2d|colland04|MI:0469(intact)|biogrid	-	0.63		SMAD7	TTF2
entrez gene:3312	entrez gene:5966	uniprotkb:HSP7C_HUMAN	uniprotkb:REL_HUMAN	-	-	MI:0492(in vitro)|MI:0676(tandem affinity purification)	Lim MY (1990)|Bouwmeester T (2004)	pubmed:2155506|pubmed:14743216	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|MI:0469(intact)|i2d	-	0.75		HSPA8	REL
entrez gene:4092	entrez gene:4654	uniprotkb:SMAD7_HUMAN	uniprotkb:MYOD1_HUMAN	-	-	MI:0018(two hybrid)	Colland F (2004)	pubmed:15231748	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|MI:0471(mint)|i2d|colland04|MI:0469(intact)|biogrid	-	0.63		SMAD7	MYOD1
entrez gene:2959	entrez gene:5966	uniprotkb:TF2B_HUMAN	uniprotkb:REL_HUMAN	-	-	MI:0492(in vitro)|Reconstituted Complex|MI:0096(pull down)	Xu X (1993)	pubmed:8413269	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.75		GTF2B	REL
entrez gene:9138	entrez gene:960	uniprotkb:ARHG1_HUMAN	uniprotkb:CD44_HUMAN	-	-	MI:0493(in vivo)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	Bourguignon LY (2003)|Rual JF (2005)	pubmed:12748184|pubmed:16189514	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|rual05	-	0.83		ARHGEF1	CD44
entrez gene:4092	entrez gene:6660	uniprotkb:SMAD7_HUMAN	uniprotkb:SOX5_HUMAN	-	-	MI:0018(two hybrid)	Colland F (2004)	pubmed:15231748	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|MI:0471(mint)|i2d|colland04|MI:0469(intact)|biogrid	-	0.63		SMAD7	SOX5
entrez gene:4092	entrez gene:55870	uniprotkb:SMAD7_HUMAN	uniprotkb:ASH1L_HUMAN	-	-	MI:0018(two hybrid)	Colland F (2004)	pubmed:15231748	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|MI:0471(mint)|i2d|colland04|MI:0469(intact)|biogrid	-	0.63		SMAD7	ASH1L
entrez gene:4092	entrez gene:27107	uniprotkb:SMAD7_HUMAN	uniprotkb:ZBT11_HUMAN	-	-	MI:0018(two hybrid)	Colland F (2004)	pubmed:15231748	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|MI:0471(mint)|i2d|colland04|MI:0469(intact)|biogrid	-	0.63		SMAD7	ZBTB11
entrez gene:5966	entrez gene:801	uniprotkb:REL_HUMAN	uniprotkb:CALM_HUMAN	-	entrez gene:805|entrez gene:808	MI:0492(in vitro)|MI:0676(tandem affinity purification)	Antonsson A (2003)|Bouwmeester T (2004)	pubmed:12556500|pubmed:14743216	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|MI:0469(intact)|i2d	-	0.75		REL	CALM1
entrez gene:4092	entrez gene:9580	uniprotkb:SMAD7_HUMAN	uniprotkb:SOX13_HUMAN	-	-	MI:0018(two hybrid)	Colland F (2004)	pubmed:15231748	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|MI:0471(mint)|i2d|colland04|MI:0469(intact)|biogrid	-	0.63		SMAD7	SOX13
entrez gene:3815	entrez gene:3815	uniprotkb:KIT_HUMAN	uniprotkb:KIT_HUMAN	-	-	MI:0492(in vitro)|MI:0004(affinity chromatography technology)	Th??mmes K (1999)|Timokhina I (1998)|Tsujimura T (1999)	pubmed:10377264|pubmed:9799234|pubmed:9949175	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d|biogrid	-	0.76		KIT	KIT
entrez gene:4067	entrez gene:3815	uniprotkb:LYN_HUMAN	uniprotkb:KIT_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|Affinity Capture-Western|Reconstituted Complex|MI:0004(affinity chromatography technology)|MI:0096(pull down)|MI:0053(fluorescence polarization spectroscopy)	Linnekin D (1997)|Liang X (2002)|Leung KK (2014)	pubmed:9341198|pubmed:11825908|pubmed:24728074	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|MI:0469(intact)	-	0.9		LYN	KIT
entrez gene:5295	entrez gene:3815	uniprotkb:P85A_HUMAN	uniprotkb:KIT_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|MI:0018(two hybrid)|Reconstituted Complex|Affinity Capture-Western|MI:0004(affinity chromatography technology)|MI:0019(coimmunoprecipitation)|MI:0096(pull down)|MI:0053(fluorescence polarization spectroscopy)|MI:0428(imaging technique)	Serve H (1994)|De Sepulveda P (1999)|van Dijk TB (2000)|Lim J (2006)|Domchek SM (1992)|Herbst R (1995)|Zhu MJ (2007)|Yokouchi M (1997)|Leung KK (2014)|Chen TC (2014)	pubmed:7509796|pubmed:10022833|pubmed:11071635|pubmed:16713569|pubmed:1382595|pubmed:7537096|pubmed:17452978|pubmed:9233773|pubmed:24728074|pubmed:25241761	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|lim06|MI:0471(mint)|MI:0469(intact)	-	0.9		PIK3R1	KIT
entrez gene:5335	entrez gene:3815	uniprotkb:PLCG1_HUMAN	uniprotkb:KIT_HUMAN	-	-	MI:0493(in vivo)|Reconstituted Complex|MI:0019(coimmunoprecipitation)|MI:0096(pull down)|MI:0053(fluorescence polarization spectroscopy)|MI:0428(imaging technique)	Jhun BH (1995)|van Dijk TB (2000)|Lim J (2006)|Herbst R (1995)|Leung KK (2014)|Chen TC (2014)	pubmed:7536744|pubmed:11071635|pubmed:16713569|pubmed:7537096|pubmed:24728074|pubmed:25241761	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|lim06|MI:0471(mint)|MI:0469(intact)|MI:1014(string)	-	0.96	taxid:10090(Mus musculus (Mouse))	PLCG1	KIT
entrez gene:5781	entrez gene:3815	uniprotkb:PTN11_HUMAN	uniprotkb:KIT_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|Reconstituted Complex|Affinity Capture-Western|MI:0004(affinity chromatography technology)|MI:0096(pull down)|MI:0053(fluorescence polarization spectroscopy)	Tauchi T (1994)|Kozlowski M (1998)|Wollberg P (2003)|Leung KK (2014)	pubmed:7523381|pubmed:9528781|pubmed:12444928|pubmed:24728074	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|MI:0462(bind)|MI:0469(intact)	-	0.9		PTPN11	KIT
entrez gene:29124	entrez gene:71	uniprotkb:PP13_HUMAN	uniprotkb:ACTG_HUMAN	-	-	MI:0492(in vitro)	Than NG (2004)	pubmed:15009185	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)	-	0.52		LGALS13	ACTG1
entrez gene:4771	entrez gene:960	uniprotkb:MERL_HUMAN	uniprotkb:CD44_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|Affinity Capture-Western|MI:0004(affinity chromatography technology)|MI:0055(fluorescent resonance energy transfer)	Sun CX (2002)|Tang X (2007)|Rual JF (2005)|Mori T (2014)|Ivanov AA (2017)	pubmed:12356905|pubmed:17891137|pubmed:16189514|pubmed:24912773|pubmed:28628118	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|rual05	-	0.88		NF2	CD44
entrez gene:5777	entrez gene:3815	uniprotkb:PTN6_HUMAN	uniprotkb:KIT_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|Affinity Capture-Western|Reconstituted Complex|MI:0004(affinity chromatography technology)|MI:0096(pull down)|MI:0007(anti tag coimmunoprecipitation)	Yi T (1993)|Kozlowski M (1998)|Markova B (2003)	pubmed:7684496|pubmed:9528781|pubmed:12614164	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|MI:0471(mint)|MI:0469(intact)	-	0.9		PTPN6	KIT
entrez gene:5578	entrez gene:3815	uniprotkb:KPCA_HUMAN	uniprotkb:KIT_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)	Blume-Jensen P (1995)	pubmed:7539802	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d	-	0.55		PRKCA	KIT
entrez gene:4254	entrez gene:3815	uniprotkb:SCF_HUMAN	uniprotkb:KIT_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|Affinity Capture-Western|Reconstituted Complex|MI:0405(competition binding)|MI:0114(x-ray crystallography)|MI:0004(affinity chromatography technology)|MI:0096(pull down)	Lev S (1992)|Blechman JM (1993)|Yuzawa S (2007)	pubmed:1375232|pubmed:7680037|pubmed:17662946	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|MI:0469(intact)|i2d	-	0.9		KITLG	KIT
entrez gene:6714	entrez gene:3815	uniprotkb:SRC_HUMAN	uniprotkb:KIT_HUMAN	-	-	MI:0492(in vitro)|MI:0053(fluorescence polarization spectroscopy)	Lennartsson J (2003)|Wollberg P (2003)|Leung KK (2014)	pubmed:12878163|pubmed:12444928|pubmed:24728074	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d|biogrid|MI:0469(intact)	-	0.84		SRC	KIT
entrez gene:4145	entrez gene:3815	uniprotkb:MATK_HUMAN	uniprotkb:KIT_HUMAN	-	-	MI:0492(in vitro)|Reconstituted Complex|MI:0096(pull down)	Price DJ (1997)|Jhun BH (1995)	pubmed:9038210|pubmed:7536744	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.85		MATK	KIT
entrez gene:3815	entrez gene:6772	uniprotkb:KIT_HUMAN	uniprotkb:STAT1_HUMAN	-	-	MI:0493(in vivo)|Affinity Capture-Western|Reconstituted Complex|Biochemical Activity|MI:0415(enzymatic study)|MI:0004(affinity chromatography technology)|MI:0096(pull down)|MI:0428(imaging technique)	Deberry C (1997)|Chen TC (2014)	pubmed:9355737|pubmed:25241761	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|MI:0462(bind)|MI:0469(intact)	-	0.89		KIT	STAT1
entrez gene:5800	entrez gene:3815	uniprotkb:PTPRO_HUMAN	uniprotkb:KIT_HUMAN	-	-	MI:0493(in vivo)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	Taniguchi Y (1999)	pubmed:10397721	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.73		PTPRO	KIT
entrez gene:7006	entrez gene:3815	uniprotkb:TEC_HUMAN	uniprotkb:KIT_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|Affinity Capture-Western|Reconstituted Complex|MI:0004(affinity chromatography technology)|MI:0096(pull down)|MI:0053(fluorescence polarization spectroscopy)	Tang B (1994)|van Dijk TB (2000)|Leung KK (2014)	pubmed:7526158|pubmed:11071635|pubmed:24728074	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|MI:0469(intact)	-	0.9		TEC	KIT
entrez gene:2886	entrez gene:3815	uniprotkb:GRB7_HUMAN	uniprotkb:KIT_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|Reconstituted Complex|MI:0096(pull down)|MI:0053(fluorescence polarization spectroscopy)	Th??mmes K (1999)|Wollberg P (2003)|Leung KK (2014)	pubmed:10377264|pubmed:12444928|pubmed:24728074	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|MI:0471(mint)|MI:0469(intact)	-	0.89		GRB7	KIT
